OBJECTID_1,PIN,ZONE_DISTR,ZONE_TYPE_,DATE,PHOTOGRAPH,VACANT_ABA,GRADE_RUBR,STRUCTURE_,STRUCTURAL,BUILDING_E,BRICK,COMMERCIAL,TWO_STORIE,STONE,PUBLIC_GOV,RESIDENTIA,BARS_ON_WI,BASEMENT_W,SIDING,MULTI_FAMI,ATTACHMENT,SINGLE_FAM,CONCRETE_S,OBSTRUCTED,WOOD,REVIEWED,NEIGHBORHO,COUNCIL_DI,CENSUS_TRA,LANDBANK,HHF,ADDRESS,RESIDENT_1,PARKING_LO,DUMPING_ON
1,45-09-07-205-027.000-004,R3,RESIDENTIAL,2013/03/08,,Occupied Structure,Good,Structure Present,,,,,,,,,,,Yes,Yes,,,,,Yes,,Aetna,First District,Census Tract 115,,,1148 HAMILTON PLACE,Yes,,
2,45-08-12-206-027.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,Yes,Yes,,,Yes,,,Yes,,Aetna,First District,Census Tract 115,,,1235 NEW JERSEY STREET,Yes,,
3,45-08-14-304-055.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2628-30 ILLINOIS PLACE,,No Parking Lot Present,
4,45-08-23-177-001.000-017,F1,FLOOD PLAN,2014/06/05,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,University Park,Fifth District,Census Tract 123,Parks Department,,3100 CHICAGO STREET,,No Parking Lot Present,
5,45-05-33-403-002.000-004,R1,RESIDENTIAL,2014/07/23,,Occupied Structure,Excellent,Structure Present,,,Yes,,Yes,,,Yes,,,Yes,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,545 NORTH UNION PLACE,Yes,,
6,45-08-14-309-057.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1940-42 RAILROAD STREET,,No Parking Lot Present,
7,45-08-14-126-030.000-004,R2,RESIDENTIAL,2013/08/01,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,Parks Department,,2258 EAST 22ND PLACE,,,
8,45-08-13-304-002.000-017,R3,RESIDENTIAL,2014/12/18,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,,,,,,Fourth District,Census Tract 115,,,3301 EAST 25TH AVENUE,Yes,,
9,45-08-14-204-011.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2609 EAST 21ST PLACE,Yes,,
10,45-08-14-126-003.000-004,R2,RESIDENTIAL,2013/07/27,,Occupied Structure,Good,Structure Present,,,Yes,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,Parks Department,,2013-25 EAST 21ST AVENUE,,,
11,45-08-14-301-003.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1604-06 EAST 25TH PLACE,,No Parking Lot Present,
12,45-08-14-352-006.000-004,F1,FLOOD PLAN,2013/11/15,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2748-54 ILLINOIS STREET APPR,,No Parking Lot Present,
13,45-08-14-309-038.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2708-10 MISSOURI STREET,,No Parking Lot Present,
14,45-08-14-307-002.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1905-07 EAST 25TH PLACE,,No Parking Lot Present,
15,45-08-14-309-051.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1916-18 RAILROAD STREET,,No Parking Lot Present,
16,45-05-32-401-033.000-004,R1A,RESIDENTIAL,2014/07/09,,Occupied Structure,Excellent,Structure Present,,,Yes,,Yes,,,Yes,,Yes,,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,7400 HEMLOCK STREET,Yes,,
17,45-08-14-306-038.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2566-68 MAINE STREET,,No Parking Lot Present,
18,45-08-14-306-035.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,,,2554-56 MAINE STREET,,No Parking Lot Present,
19,45-09-07-206-026.000-004,R3,RESIDENTIAL,2013/03/08,,Occupied Structure,Fair,Structure Present,,,,,,,,,,,Yes,Yes,,Yes,,,,,Aetna,First District,Census Tract 115,,,1150 SOUTH LAKE STREET,Yes,,
20,45-08-14-304-072.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,City of Gary,,1740-42 RAILROAD STREET,,No Parking Lot Present,
21,45-08-23-326-001.000-017,R2,RESIDENTIAL,2014/06/05,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,University Park,Fifth District,Census Tract 123,,,3300 MISSISSIPPI STREET,,No Parking Lot Present,
22,45-08-23-178-001.000-017,F1,FLOOD PLAN,2014/06/05,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,University Park,Fifth District,Census Tract 123,Parks Department,,3100 POWELL STREET,,No Parking Lot Present,
23,45-08-14-305-063.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2628-30 ALABAMA STREET,,No Parking Lot Present,
24,45-08-14-308-015.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2644-46 MAINE STREET,,No Parking Lot Present,
25,45-08-14-306-027.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2613-15 ALABAMA STREET,,No Parking Lot Present,
26,45-09-06-301-013.000-004,R2,RESIDENTIAL,2013/04/20,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,5008 EAST 6TH AVENUE,,,
27,45-08-14-206-030.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2606 EAST 23RD AVENUE,Yes,,
28,45-08-12-426-002.000-004,M1-1,MANUFACTURING,2014/08/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,City of Gary,,18TH STATE STREET,,No Parking Lot Present,
29,45-08-14-307-044.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2590-92 MISSOURI STREET,,No Parking Lot Present,
30,45-08-14-304-020.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,City of Gary,,2591-93 ILLINOIS PLACE,,No Parking Lot Present,
31,45-08-14-306-010.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2551-53 ALABAMA STREET,,No Parking Lot Present,
32,45-08-14-303-027.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2550-52 ILLINOIS PLACE,,No Parking Lot Present,
33,45-08-14-306-002.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1841-43 EAST 25TH PLACE,,No Parking Lot Present,
34,45-08-14-303-003.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1609-11 EAST 25TH PLACE,,No Parking Lot Present,
35,45-08-13-279-008.000-017,R3,RESIDENTIAL,2014/12/18,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,,,,,,Fourth District,Census Tract 115,,,2375 CASS STREET,Yes,,
